"Debug","8","28-Aug-2025 10:33:09:821","","CarrierServer:ORBWorkerThread-77","PTAJFP000124","Publishing Event: theSubject=carrier.movement.locationUpdated.PTAJFP000124, CarrierData=(id=PTAJFP000124,batchId=,idStatus=Trusted,errorReason=,jobId=1756391050785,previousStartedJobId=1756391050785,deadlineProcessed=false,jobLateProcessed=false,needsReroute=false,moveStatus=Moving,itineraryId=J1FCNV13302.J1FSTO13301.1,updateItineraryId=,previousLocationInfo=(J1FSTO13301,J1FSTO13301-101,),currentLocationInfo=(J1FSTO13301,D_PTT01,J1FSTO13301-10201),arrivalTime=28-Aug-2025 10:33:09:821,requestor=AUTO,moveRequestorType=ExternalRequest,moveRequestReason=,requestTime=28-Aug-2025 10:24:10:785,requestedTypeOfMove=Normal,priority=50,autoCancelCriteria=,deadlineTime=0,sourceLocationInfo=(J1FCNV13302,J1FCNV13302-101,),originalLocationInfo=(,,),requestedDestinationInfo=(J1FSTO13301,D_PTT01,),assignedDestinationId=,bufferedDestinationId=J1FSTO13301,bufferedFlag=true,alternateDestinationId=,alternateReturnCriteria=Default,intermediateDestinationId=,createTime=28-Jun-2025 13:13:20:788,type=EMPTY,subTypeAttributes=,idInformation=,idPrefix=,capacity=0,emptyFlag=true,comments=,loopId=,useCount=0,cleanCount=0,lastCleanTime=28-Jun-2025 13:13:20:788,preferredExitLocationInfo=(,,),preferredEnterLocationInfo=(,,),requestedDeliveryTime=31-Dec-1969 19:00:00:000,requestedDeliveryStartTime=31-Dec-1969 19:00:00:000,requestedDeliveryStartSetTime=31-Dec-1969 19:00:00:000,moveStatusTime=28-Aug-2025 10:32:28:107), CustomPropertyInfoList=[(CHANGE_DIRECTION_REINPUT_FLAG,),(PROCESS_GROUP_CODE,),(LOT_WORK_TYPE,NONE),(TO_EQP_WINDING_DIRECTION,),(NEXT_EQUIPMENT_GROUP_CODE,),(PRIO,50),(EQUIPMENT_GROUP_CODE,),(TRANSFER_CREATE_TYPE,R),(CMD_CD,HPTAJFP0001240828102410),(ROLL_NOT_COATED_SIDE,),(MATERIALCODE,),(LOT_ID,),(NEXT_PROCESS_GROUP_CODE,),(TO_EQUIPMENT_NOT_COATED_SIDE,),(ROLL_WINDING_DIRECTION,N),(CRANEID,J1FSTO13301-101),(OUTTIME,20250904103139),(MES_NG,FALSE),(OPER,),(QUERYSENT,TRUE),(TC_REPORT,TRUE),(SHELF,),(COMMAND_TEXT,),(ERROR_DURABLE_FLAG,N),(SecondParentId,)]","debug","Carrier.publishCarrierEvent","","","1756391589821"
"Debug","7","28-Aug-2025 10:33:09:821","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124","Device: J1FSTO13301 adding carrier: PTAJFP000124 at location: D_PTT01","debug","Device.addCarrier","","","1756391589821"
"Debug","7","28-Aug-2025 10:33:09:821","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124","Removing carrier: PTAJFP000124 from location: J1FSTO13301-101","debug","Device.removeCarrier","","","1756391589821"
"Debug","7","28-Aug-2025 10:33:09:821","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124","Custom Property(IMMEDIATE_LOCAL_FLAG) not found on Carrier (PTAJFP000124)","debug","LGStockerSEM.deleteCarrierProperty","","","1756391589821"
"Info","7","28-Aug-2025 10:33:09:820","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124",">>> resultCode :0 , creatTypeFlag : R","info","LGStockerSEM.transferCompleted","","","1756391589820"
"Info","7","28-Aug-2025 10:33:09:819","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124","TC Data : carrierId PTAJFP000124,currentLocation : D_PTT01,currentSublocation:J1FSTO13301-10201,sourceId:J1FSTO13301-301,nextLocId:D_PTT01,resultCode:0","info","LGStockerSEM.transferCompleted","","","1756391589819"
"Info","5","28-Aug-2025 10:33:09:819","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124","WorkItemInfo : WorkItem
  State:       Moving
  Carrier:     PTAJFP000124
  Source:      J1FSTO13301-301
  Next:        D_PTT01
  CommandId:   781
  Priority:    50
  Interface:   
  Itinerary:   J1FCNV13302.J1FSTO13301.1
  Comment:     Command Sent to Device
","info","LGStockerSEM.transferCompleted","","","1756391589819"
"Debug","5","28-Aug-2025 10:33:09:819","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):EventReportThreadP-J1FSTO13301","PTAJFP000124","commandId : 781, carrierId : PTAJFP000124, equipmentAddress : J1FSTO13301-10201, resultCode : 0, zoneName : SN0","debug","LGStockerSEM.transferCompleted","","","1756391589819"
"Com","1","28-Aug-2025 10:33:09:818","J1FSTO13301","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):HsmsRecv/10.228.115.165:30061","","--> Event Report Send CEID:107 - TransferCompleted  CarrierID: PTAJFP000124  CommandID: 781  Location: J1FSTO13301-10201","commessage","SecsProtocolLogger.logMessage","classlgmcs.device.mcs.storage.lgstockerSEM.ComLogParser","0001860b0000000026450103b10400000000a902006b01010102a902000901064103373831410c5054414a465030303031323441114a314653544f31333330312d3130323031a90200004103534e3041014e","1756391589818"
"Info","9","28-Aug-2025 10:33:09:818","","DeviceServer(1F_Formation_N_2nd_Stocker_02_Server):HsmsRecv/10.228.115.165:30061","",">>> super Event Report Send CEID:107 - TransferCompleted  CarrierID: PTAJFP000124  CommandID: 781  Location: J1FSTO13301-10201","INFO","COMLogParser.parseComLog","","","1756391589818"
"Info","3","28-Aug-2025 10:32:28:116","MesServer_J1F","MesServer_J1F:CarrierLocUpdateListenerMCSEventThreadPool-4","MesServer_J1F:Primary:Active","[SEND] 
